date,symbol,daily_buzz,daily_sentiment,buzz_7d,polarity_7d,sentiment_7d_avg,sentiment_decay
2014-12-05,ACB,1.0,4.0,1.0,0.0,4.0,4.0
2014-12-06,ACB,0.0,0.0,1.0,2.8284271247461903,2.0,3.4
2014-12-07,ACB,0.0,0.0,1.0,2.3094010767585034,1.3333333333333333,2.8899999999999997
2014-12-08,ACB,0.0,0.0,1.0,2.0,1.0,2.4564999999999997
2014-12-09,ACB,0.0,0.0,1.0,1.788854381999832,0.8,2.0880249999999996
2014-12-10,ACB,0.0,0.0,1.0,1.632993161855452,0.6666666666666666,1.7748212499999996
2014-12-11,ACB,0.0,0.0,1.0,1.511857892036909,0.5714285714285714,1.5085980624999995
2014-12-12,ACB,0.0,0.0,0.0,0.0,0.0,1.2823083531249995
2014-12-13,ACB,0.0,0.0,0.0,0.0,0.0,1.0899621001562496
2014-12-14,ACB,0.0,0.0,0.0,0.0,0.0,0.9264677851328121
2014-12-15,ACB,0.0,0.0,0.0,0.0,0.0,0.7874976173628903
2014-12-16,ACB,0.0,0.0,0.0,0.0,0.0,0.6693729747584567
2014-12-17,ACB,0.0,0.0,0.0,0.0,0.0,0.5689670285446882
2014-12-18,ACB,0.0,0.0,0.0,0.0,0.0,0.4836219742629849
2014-12-19,ACB,0.0,0.0,0.0,0.0,0.0,0.41107867812353716
2014-12-20,ACB,0.0,0.0,0.0,0.0,0.0,0.34941687640500657
2014-12-21,ACB,0.0,0.0,0.0,0.0,0.0,0.2970043449442556
2014-12-22,ACB,0.0,0.0,0.0,0.0,0.0,0.25245369320261724
2014-12-23,ACB,0.0,0.0,0.0,0.0,0.0,0.21458563922222465
2014-12-24,ACB,0.0,0.0,0.0,0.0,0.0,0.18239779333889095
2014-12-25,ACB,0.0,0.0,0.0,0.0,0.0,0.1550381243380573
2014-12-26,ACB,0.0,0.0,0.0,0.0,0.0,0.1317824056873487
2014-12-27,ACB,0.0,0.0,0.0,0.0,0.0,0.11201504483424639
2014-12-28,ACB,0.0,0.0,0.0,0.0,0.0,0.09521278810910942
2014-12-29,ACB,0.0,0.0,0.0,0.0,0.0,0.08093086989274301
2014-12-30,ACB,0.0,0.0,0.0,0.0,0.0,0.06879123940883156
2014-12-31,ACB,0.0,0.0,0.0,0.0,0.0,0.058472553497506824
2015-01-01,ACB,0.0,0.0,0.0,0.0,0.0,0.0497016704728808
2015-01-02,ACB,0.0,0.0,0.0,0.0,0.0,0.042246419901948676
2015-01-03,ACB,0.0,0.0,0.0,0.0,0.0,0.035909456916656375
2015-01-04,ACB,0.0,0.0,0.0,0.0,0.0,0.03052303837915792
2015-01-05,ACB,0.0,0.0,0.0,0.0,0.0,0.025944582622284232
2015-01-06,ACB,0.0,0.0,0.0,0.0,0.0,0.022052895228941598
2015-01-07,ACB,0.0,0.0,0.0,0.0,0.0,0.018744960944600358
2015-01-08,ACB,0.0,0.0,0.0,0.0,0.0,0.015933216802910304
2015-01-09,ACB,0.0,0.0,0.0,0.0,0.0,0.013543234282473757
2015-01-10,ACB,0.0,0.0,0.0,0.0,0.0,0.011511749140102693
2015-01-11,ACB,0.0,0.0,0.0,0.0,0.0,0.00978498676908729
2015-01-12,ACB,0.0,0.0,0.0,0.0,0.0,0.008317238753724195
2015-01-13,ACB,0.0,0.0,0.0,0.0,0.0,0.0070696529406655655
2015-01-14,ACB,0.0,0.0,0.0,0.0,0.0,0.00600920499956573
2015-01-15,ACB,0.0,0.0,0.0,0.0,0.0,0.00510782424963087
2015-01-16,ACB,1.0,2.0,1.0,0.7559289460184548,0.2857142857142857,2.004341650612186
2015-01-17,ACB,0.0,0.0,1.0,0.7559289460184548,0.2857142857142857,1.7036904030203581
2015-01-18,ACB,0.0,0.0,1.0,0.7559289460184548,0.2857142857142857,1.4481368425673045
2015-01-19,ACB,0.0,0.0,1.0,0.7559289460184548,0.2857142857142857,1.2309163161822088
2015-01-20,ACB,1.0,0.0,2.0,0.7559289460184548,0.2857142857142857,1.0462788687548774
2015-01-21,ACB,0.0,0.0,2.0,0.7559289460184548,0.2857142857142857,0.8893370384416458
2015-01-22,ACB,0.0,0.0,2.0,0.7559289460184548,0.2857142857142857,0.7559364826753989
2015-01-23,ACB,0.0,0.0,1.0,0.0,0.0,0.6425460102740891
2015-01-24,ACB,0.0,0.0,1.0,0.0,0.0,0.5461641087329757
2015-01-25,ACB,0.0,0.0,1.0,0.0,0.0,0.46423949242302937
2015-01-26,ACB,0.0,0.0,1.0,0.0,0.0,0.39460356855957496
2015-01-27,ACB,0.0,0.0,0.0,0.0,0.0,0.3354130332756387
2015-01-28,ACB,0.0,0.0,0.0,0.0,0.0,0.2851010782842929
2015-01-29,ACB,0.0,0.0,0.0,0.0,0.0,0.24233591654164893
2015-01-30,ACB,0.0,0.0,0.0,0.0,0.0,0.2059855290604016
2015-01-31,ACB,0.0,0.0,0.0,0.0,0.0,0.17508769970134136
2015-02-01,ACB,0.0,0.0,0.0,0.0,0.0,0.14882454474614015
2015-02-02,ACB,0.0,0.0,0.0,0.0,0.0,0.12650086303421912
2015-02-03,ACB,0.0,0.0,0.0,0.0,0.0,0.10752573357908625
2015-02-04,ACB,0.0,0.0,0.0,0.0,0.0,0.09139687354222331
2015-02-05,ACB,0.0,0.0,0.0,0.0,0.0,0.07768734251088981
2015-02-06,ACB,0.0,0.0,0.0,0.0,0.0,0.06603424113425634
2015-02-07,ACB,0.0,0.0,0.0,0.0,0.0,0.05612910496411788
2015-02-08,ACB,0.0,0.0,0.0,0.0,0.0,0.0477097392195002
2015-02-09,ACB,0.0,0.0,0.0,0.0,0.0,0.04055327833657517
2015-02-10,ACB,0.0,0.0,0.0,0.0,0.0,0.034470286586088895
2015-02-11,ACB,0.0,0.0,0.0,0.0,0.0,0.02929974359817556
2015-02-12,ACB,0.0,0.0,0.0,0.0,0.0,0.024904782058449225
2015-02-13,ACB,0.0,0.0,0.0,0.0,0.0,0.021169064749681842
2015-02-14,ACB,0.0,0.0,0.0,0.0,0.0,0.017993705037229565
2015-02-15,ACB,0.0,0.0,0.0,0.0,0.0,0.01529464928164513
2015-02-16,ACB,0.0,0.0,0.0,0.0,0.0,0.01300045188939836
2015-02-17,ACB,0.0,0.0,0.0,0.0,0.0,0.011050384105988607
2015-02-18,ACB,0.0,0.0,0.0,0.0,0.0,0.009392826490090316
2015-02-19,ACB,0.0,0.0,0.0,0.0,0.0,0.007983902516576769
2015-02-20,ACB,0.0,0.0,0.0,0.0,0.0,0.006786317139090253
2015-02-21,ACB,0.0,0.0,0.0,0.0,0.0,0.0057683695682267154
2015-02-22,ACB,0.0,0.0,0.0,0.0,0.0,0.004903114132992708
2015-02-23,ACB,0.0,0.0,0.0,0.0,0.0,0.004167647013043802
2015-02-24,ACB,0.0,0.0,0.0,0.0,0.0,0.0035424999610872317
2015-02-25,ACB,0.0,0.0,0.0,0.0,0.0,0.0030111249669241467
2015-02-26,ACB,0.0,0.0,0.0,0.0,0.0,0.0025594562218855246
2015-02-27,ACB,0.0,0.0,0.0,0.0,0.0,0.0021755377886026957
2015-02-28,ACB,0.0,0.0,0.0,0.0,0.0,0.0018492071203122912
2015-03-01,ACB,0.0,0.0,0.0,0.0,0.0,0.0015718260522654475
2015-03-02,ACB,0.0,0.0,0.0,0.0,0.0,0.0013360521444256304
2015-03-03,ACB,0.0,0.0,0.0,0.0,0.0,0.001135644322761786
2015-03-04,ACB,0.0,0.0,0.0,0.0,0.0,0.000965297674347518
2015-03-05,ACB,0.0,0.0,0.0,0.0,0.0,0.0008205030231953903
2015-03-06,ACB,0.0,0.0,0.0,0.0,0.0,0.0006974275697160817
2015-03-07,ACB,0.0,0.0,0.0,0.0,0.0,0.0005928134342586695
2015-03-08,ACB,0.0,0.0,0.0,0.0,0.0,0.000503891419119869
2015-03-09,ACB,0.0,0.0,0.0,0.0,0.0,0.0004283077062518887
2015-03-10,ACB,0.0,0.0,0.0,0.0,0.0,0.00036406155031410537
2015-03-11,ACB,0.0,0.0,0.0,0.0,0.0,0.0003094523177669896
2015-03-12,ACB,0.0,0.0,0.0,0.0,0.0,0.00026303447010194114
2015-03-13,ACB,0.0,0.0,0.0,0.0,0.0,0.00022357929958664996
2015-03-14,ACB,0.0,0.0,0.0,0.0,0.0,0.00019004240464865247
2015-03-15,ACB,0.0,0.0,0.0,0.0,0.0,0.0001615360439513546
2015-03-16,ACB,0.0,0.0,0.0,0.0,0.0,0.0001373056373586514
2015-03-17,ACB,0.0,0.0,0.0,0.0,0.0,0.00011670979175485368
2015-03-18,ACB,0.0,0.0,0.0,0.0,0.0,9.920332299162562e-05
2015-03-19,ACB,0.0,0.0,0.0,0.0,0.0,8.432282454288178e-05
